@relation imu_motion_train_raw

@attribute gyro_x numeric
@attribute gyro_y numeric
@attribute gyro_z numeric
@attribute mag_x numeric
@attribute mag_y numeric
@attribute mag_z numeric
@attribute acc_x numeric
@attribute acc_y numeric
@attribute acc_z numeric
@attribute label {cross,rotate_wrist,up_down}

@data
37.275000,44.467000,-83.037000,13.500000,-47.700000,-45.900000,-0.486000,-0.021000,1.206000,cross
49.420000,74.812000,-53.340000,13.000000,-47.800000,-45.900000,-0.500000,-0.178000,1.040000,cross
46.585000,91.682000,7.035000,13.900000,-48.000000,-46.000000,-0.518000,0.025000,0.587000,cross
40.215000,81.882000,16.240000,13.900000,-47.800000,-44.800000,-0.555000,0.234000,0.449000,cross
26.845000,59.027000,13.177000,13.500000,-48.000000,-45.400000,-0.533000,0.381000,0.384000,cross
10.307000,33.565000,-0.927000,13.500000,-47.800000,-45.600000,-0.518000,0.559000,0.487000,cross
-12.390000,19.197000,-22.330000,13.800000,-46.600000,-45.700000,-0.589000,0.640000,0.647000,cross
-38.220000,23.957000,-46.060000,12.900000,-47.800000,-45.900000,-0.671000,0.638000,0.808000,cross
-61.687000,29.172000,-65.205000,12.900000,-47.500000,-45.300000,-0.753000,0.465000,0.567000,cross
-92.872000,51.975000,-58.747000,12.000000,-47.100000,-46.500000,-0.690000,0.498000,0.919000,cross
-99.732000,57.557000,-56.297000,11.400000,-46.800000,-46.500000,-0.773000,0.683000,0.768000,cross
-96.127000,47.197000,-54.617000,11.500000,-46.900000,-47.500000,-0.772000,0.703000,0.674000,cross
-83.510000,31.832000,-51.275000,11.800000,-46.200000,-47.500000,-0.813000,0.611000,0.597000,cross
-72.327000,18.147000,-40.495000,10.500000,-45.400000,-47.700000,-0.796000,0.510000,0.607000,cross
-62.825000,10.780000,-19.215000,11.100000,-45.900000,-47.700000,-0.774000,0.483000,0.660000,cross
-49.402000,14.122000,3.657000,11.400000,-45.700000,-47.700000,-0.810000,0.558000,0.770000,cross
-35.000000,17.920000,20.335000,11.500000,-46.000000,-48.000000,-0.767000,0.544000,0.666000,cross
-33.337000,14.875000,23.292000,11.200000,-45.000000,-48.300000,-0.762000,0.629000,0.587000,cross
-38.517000,6.667000,16.695000,11.400000,-45.100000,-48.700000,-0.778000,0.688000,0.544000,cross
-47.145000,-2.327000,8.750000,10.600000,-44.200000,-48.400000,-0.739000,0.592000,0.536000,cross
-56.157000,-10.762000,6.300000,11.400000,-44.800000,-47.800000,-0.697000,0.501000,0.517000,cross
-66.885000,-20.930000,3.517000,11.700000,-43.900000,-49.000000,-0.691000,0.512000,0.484000,cross
-78.452000,-32.672000,-5.530000,11.700000,-44.400000,-49.600000,-0.690000,0.569000,0.478000,cross
-102.357000,-51.607000,-32.900000,11.500000,-43.600000,-50.700000,-0.634000,0.597000,0.582000,cross
-112.245000,-56.997000,-44.660000,11.800000,-43.000000,-50.200000,-0.645000,0.573000,0.666000,cross
