@relation 'MLC'

@attribute F1_MEAN_ACC_Y numeric
@attribute F2_PEAK_TO_PEAK_GYR_Y numeric
@attribute F3_MAXIMUM_ACC_X numeric
@attribute F4_MINIMUM_GYR_Z numeric
@attribute F5_MINIMUM_ACC_X numeric
@attribute F6_ENERGY_ACC_Z numeric
@attribute F7_MEAN_ACC_Z numeric
@attribute F8_MAXIMUM_ACC_Y numeric
@attribute F9_PEAK_TO_PEAK_ACC_Y numeric
@attribute F10_MAXIMUM_GYR_Z numeric
@attribute F11_MAXIMUM_ACC_X_FILTER_1 numeric
@attribute F12_PEAK_TO_PEAK_ACC_Y_FILTER_1 numeric
@attribute F13_PEAK_TO_PEAK_ACC_X_FILTER_1 numeric
@attribute F14_MINIMUM_ACC_X_FILTER_1 numeric
@attribute F15_MINIMUM_ACC_Y_FILTER_1 numeric
@attribute F16_MAXIMUM_ACC_X_FILTER_1 numeric
@attribute F17_PEAK_TO_PEAK_ACC_Y_FILTER_1 numeric
@attribute F18_PEAK_TO_PEAK_ACC_X_FILTER_1 numeric
@attribute F19_MINIMUM_ACC_Y_FILTER_1 numeric
@attribute F20_MINIMUM_ACC_Y_FILTER_1 numeric
@attribute F21_MAXIMUM_ACC_Z_FILTER_1 numeric
@attribute F22_PEAK_TO_PEAK_ACC_Y_FILTER_1 numeric
@attribute F23_PEAK_TO_PEAK_ACC_X_FILTER_1 numeric
@attribute F24_MINIMUM_ACC_X_FILTER_1 numeric
@attribute F25_MINIMUM_ACC_Y_FILTER_1 numeric
@attribute class {waving, walking, wrist}

@data
0.00761032, 0.00366211, -0.00598145, -0.00488281, -0.0159912, 88.0625, 1, 0.0109863, 0.00695801, -0.00183105, 0.00286865, 0.00846863, 0.0119019, -0.0090332, -0.00205994, 0.00286865, 0.00846863, 0.0119019, -0.00205994, -0.00205994, 0.765137, 0.00846863, 0.0119019, -0.0090332, -0.00205994, waving
0.00769424, 0.00305176, -0.00799561, -0.00457764, -0.0140381, 88.0625, 1.00098, 0.0100098, 0.00402832, -0.00183105, 0.00334358, 0.00368309, 0.00643539, -0.0030899, -0.00224495, 0.00334358, 0.00368309, 0.00643539, -0.00224495, -0.00224495, 0.0012207, 0.00368309, 0.00643539, -0.0030899, -0.00224495, waving
0.00777817, 0.00305176, -0.00799561, -0.00457764, -0.0140381, 88.0625, 1, 0.0090332, 0.00305176, -0.00213623, 0.00216293, 0.00214958, 0.00456619, -0.00240326, -0.00108528, 0.00216293, 0.00214958, 0.00456619, -0.00108528, -0.00108528, 0.00109863, 0.00214958, 0.00456619, -0.00240326, -0.00108528, waving
0.00713348, 0.0460815, 0, -0.00549316, -0.0280151, 88, 1, 0.0239868, 0.0310059, 0.000610352, 0.00773239, 0.0147705, 0.0147781, -0.00704193, -0.00584793, 0.00773239, 0.0147705, 0.0147781, -0.00584793, -0.00584793, 0.0241699, 0.0147705, 0.0147781, -0.00704193, -0.00584793, waving
0.0212402, 0.431396, 0.200195, -0.952637, -0.15918, 88.4375, 1.00293, 0.307129, 0.593262, 2.82422, 0.139526, 0.407959, 0.299072, -0.159546, -0.188477, 0.139526, 0.407959, 0.299072, -0.188477, -0.188477, 0.0626221, 0.407959, 0.299072, -0.159546, -0.188477, waving
-0.0162506, 1.55273, 0.182129, -1.21973, -0.106079, 97.5, 1.04883, 0.189087, 0.57959, 1.36328, 0.095459, 0.324219, 0.194092, -0.0986328, -0.176392, 0.095459, 0.324219, 0.194092, -0.176392, -0.176392, 0.222412, 0.324219, 0.194092, -0.0986328, -0.176392, waving
-0.189697, 3.19141, 0.0690308, -0.729492, -1.00488, 48.6875, 0.643066, 0.19519, 0.882813, 1.40234, 0.484131, 0.634277, 0.888672, -0.404297, -0.274902, 0.484131, 0.634277, 0.888672, -0.274902, -0.274902, 0.554688, 0.634277, 0.888672, -0.404297, -0.274902, waving
-0.352783, 2.88477, -0.518555, -1.19043, -1.05664, 38.5625, 0.541504, 0.477295, 1.67383, 0.501953, 0.168945, 1.17773, 0.347168, -0.178101, -0.705078, 0.168945, 1.17773, 0.347168, -0.705078, -0.705078, 0.640625, 1.17773, 0.347168, -0.178101, -0.705078, waving
0.088562, 1.17969, -0.154175, 0.0640869, -0.789551, 1.42188, 0.00899506, 1.1709, 1.93066, 3.125, 0.19043, 0.612793, 0.219849, -0.0294189, -0.164307, 0.19043, 0.612793, 0.219849, -0.164307, -0.164307, 0.198608, 0.612793, 0.219849, -0.0294189, -0.164307, waving
0.759277, 2.41406, 0.0430298, -3.09375, -0.907715, 0.927246, 0.00465012, 1.90137, 2.57813, 1.70898, 0.161133, 0.917969, 0.394531, -0.233398, -0.497803, 0.161133, 0.917969, 0.394531, -0.497803, -0.497803, 0.124207, 0.917969, 0.394531, -0.233398, -0.497803, waving
