accX,accY,accZ,gyroX,gyroY,gyroZ,label
3.23,8.6,1004.85,-280.0,140.0,70.0,waving
3.29,8.66,1004.85,-280.0,140.0,0.0,waving
3.29,8.6,1004.85,-280.0,140.0,0.0,waving
3.29,8.6,1004.85,-280.0,70.0,0.0,waving
3.29,8.6,1004.85,-280.0,140.0,0.0,waving
3.29,8.6,1004.85,-280.0,140.0,0.0,waving
3.29,8.6,1004.85,-280.0,140.0,0.0,waving
3.29,8.66,1004.85,-280.0,140.0,0.0,waving
3.29,8.66,1004.85,-280.0,70.0,0.0,waving
3.29,8.66,1004.79,-280.0,70.0,0.0,waving
3.29,8.66,1004.85,-280.0,140.0,0.0,waving
3.29,8.66,1004.85,-280.0,70.0,0.0,waving
3.29,8.66,1004.85,-280.0,70.0,0.0,waving
3.29,8.66,1004.85,-280.0,70.0,0.0,waving
3.36,8.66,1004.91,-280.0,140.0,0.0,waving
3.36,8.66,1004.91,-280.0,140.0,0.0,waving
3.36,8.66,1004.85,-280.0,140.0,0.0,waving
3.36,8.66,1004.85,-280.0,140.0,0.0,waving
3.29,8.6,1004.85,-280.0,140.0,70.0,waving
3.29,8.66,1004.85,-280.0,140.0,70.0,waving
3.29,8.72,1004.85,-280.0,70.0,70.0,waving
3.29,8.72,1004.85,-280.0,70.0,70.0,waving
3.29,8.72,1004.91,-280.0,140.0,0.0,waving
3.29,8.66,1004.91,-280.0,140.0,0.0,waving
3.29,8.72,1004.91,-280.0,140.0,0.0,waving
3.29,8.66,1004.91,-280.0,70.0,0.0,waving
3.29,8.72,1004.91,-280.0,70.0,0.0,waving
3.29,8.78,1004.91,-280.0,70.0,0.0,waving
3.29,8.72,1004.91,-280.0,140.0,0.0,waving
3.29,8.78,1004.98,-280.0,70.0,0.0,waving
3.29,8.78,1004.98,-280.0,140.0,0.0,waving
3.29,8.78,1005.04,-280.0,140.0,0.0,waving
3.29,8.85,1005.04,-280.0,140.0,0.0,waving
3.84,8.66,1005.04,-280.0,1190.0,3640.0,waving
3.72,8.72,1005.1,-280.0,-1050.0,1400.0,waving
2.81,10.25,1005.1,-210.0,-70.0,-2030.0,waving
2.81,9.7,1004.98,-280.0,-2730.0,-7350.0,waving
3.97,7.87,1008.21,24430.0,-8050.0,-5950.0,waving
5.18,9.15,1017.72,3290.0,3640.0,-18200.0,waving
6.28,13.6,1023.03,-3150.0,22120.0,-29190.0,waving
7.14,23.18,1019.43,-16170.0,21210.0,-12600.0,waving
5.0,33.73,1012.91,-4130.0,7280.0,14280.0,waving
-2.07,40.44,1007.48,-4340.0,2520.0,2800.0,waving
-10.55,41.11,1003.15,21070.0,-23520.0,-6020.0,waving
-13.48,35.44,1001.13,18690.0,-47320.0,-22960.0,waving
-10.86,30.99,1002.47,21420.0,-27650.0,-22820.0,waving
-6.89,31.05,1004.18,5810.0,-5810.0,-26040.0,waving
-2.81,36.42,1006.01,2590.0,-3920.0,-15890.0,waving
2.38,45.32,1006.07,280.0,-14910.0,12810.0,waving
10.8,50.81,1003.51,4550.0,-13930.0,35420.0,waving
20.92,44.29,1001.86,-8820.0,700.0,35490.0,waving
29.95,27.63,1002.72,-10010.0,-2030.0,1400.0,waving
37.58,11.96,1005.28,-14630.0,7910.0,-23030.0,waving
44.1,5.12,1009.79,-33390.0,42560.0,-28560.0,waving
46.97,8.05,1009.43,-26180.0,1540.0,-22750.0,waving
45.87,15.25,1005.77,-2660.0,-18130.0,-8400.0,waving
42.88,21.11,1005.95,-25060.0,4970.0,-6930.0,waving
40.87,22.08,1004.79,-2800.0,-1820.0,-1120.0,waving
42.82,22.45,1007.48,-7000.0,-4200.0,1470.0,waving
47.34,23.18,1018.82,11690.0,-21630.0,17360.0,waving
51.55,19.7,1028.4,-6300.0,-41370.0,10290.0,waving
55.39,13.6,1031.45,-20300.0,-44590.0,-3010.0,waving
60.76,7.69,1025.29,-3220.0,-41230.0,-10430.0,waving
66.98,3.97,1010.4,-7350.0,-16800.0,-18550.0,waving
74.05,10.49,992.41,13020.0,4690.0,-7910.0,waving
82.59,25.32,983.14,8050.0,18620.0,57120.0,waving
89.55,22.02,983.26,3710.0,3220.0,50750.0,waving
94.73,-7.32,985.58,4410.0,6090.0,2520.0,waving
100.59,-35.38,986.61,14910.0,-770.0,-67480.0,waving
110.41,-38.06,984.6,33530.0,-11200.0,-60060.0,waving
122.67,-15.98,982.59,39410.0,-6020.0,-31640.0,waving
132.98,24.64,981.25,29260.0,-3150.0,46970.0,waving
138.35,57.28,980.03,6790.0,32760.0,141330.0,waving
133.9,38.55,984.23,-21980.0,32690.0,69720.0,waving
127.0,-11.1,990.27,1050.0,-18200.0,-55020.0,waving
126.7,-25.8,991.13,1540.0,-38570.0,-118510.0,waving
135.54,15.8,986.25,-10080.0,-3570.0,-26250.0,waving
147.44,64.29,972.34,10010.0,28420.0,138670.0,waving
144.75,50.94,972.28,-3780.0,56490.0,102410.0,waving
131.33,-3.23,981.55,23660.0,-9730.0,-83230.0,waving
126.82,-9.27,983.62,24640.0,-59710.0,-125790.0,waving
138.47,41.85,975.94,-1680.0,-2030.0,16030.0,waving
147.99,66.55,971.0,9660.0,42770.0,114240.0,waving
